
=== GROUP: major ===

--- openai (53 entries) ---
2022-11-30  GPT-3.5-turbo  (id: openai-gpt-35-turbo-202211, category: chat)
2024-03-04  Claude 3 Sonnet  (id: anthropic-claude-3-sonnet-202403, category: chat)
2024-03-13  Claude 3 Haiku  (id: anthropic-claude-3-haiku-202403, category: chat)
2024-06-20  Claude 3.5 Sonnet  (id: anthropic-claude-3-5-sonnet-202406, category: chat)
2024-10-22  Claude 3.5 Sonnet (New)  (id: anthropic-claude-3-5-sonnet-v2-202410, category: chat)
2024-11-04  Claude 3.5 Haiku  (id: anthropic-claude-3-5-haiku-202411, category: chat)
2025-02-24  Claude 3.7 Sonnet  (id: anthropic-claude-3-7-sonnet-202502, category: chat)
2025-05-22  Claude Opus 4  (id: anthropic-claude-opus-4-202505, category: chat)
2025-05-22  Claude Sonnet 4  (id: anthropic-claude-sonnet-4-202505, category: chat)
2025-08-05  Claude Opus 4.1  (id: anthropic-claude-opus-4-1-202508, category: chat)
2025-09-29  Claude Sonnet 4.5  (id: anthropic-claude-sonnet-4-5-202509, category: chat)
2025-10-15  Claude Haiku 4.5  (id: anthropic-claude-haiku-4-5-202510, category: chat)
2025-11-24  Claude Opus 4.5  (id: anthropic-claude-opus-4-5-202511, category: chat)
2026-02-05  Claude Opus 4.6  (id: anthropic-claude-opus-4-6-202602, category: chat)
2026-02-17  Claude Sonnet 4.6  (id: anthropic-claude-sonnet-4-6-202602, category: chat)
2026-04-16  Claude Opus 4.7  (id: anthropic-claude-opus-4-7-202604, category: chat)
2026-05-28  Claude Opus 4.8  (id: anthropic-claude-opus-4-8-202605, category: chat)
2026-06-09  Claude Fable 5  (id: anthropic-claude-fable-5-202606, category: chat)
2026-06-09  Claude Mythos 5  (id: anthropic-claude-mythos-5-202606, category: chat)
2026-06-30  Claude Sonnet 5  (id: anthropic-claude-sonnet-5-202606, category: chat)
2026-07-24  Claude Opus 5  (id: anthropic-opus5-202607, category: chat)
2026-09-01  Claude Fable 5.1  (id: anthropic-claudefable51-202609, category: chat)
2026-09-01  Claude Mythos 5.1  (id: anthropic-claudemythos51-202609, category: chat)
2026-09-22  Claude Opus 5.5  (id: anthropic-claudeopus55-202609, category: chat)

--- google (38 entries) ---
2023-12-06  Gemini 1.0 Pro  (id: google-gemini-1.0-pro-202312, category: chat)
2023-12-13  Imagen 2  (id: google-imagen2-202312, category: image)
2024-02-08  Gemini 1.0 Ultra  (id: google-gemini-1.0-ultra-202402, category: chat)
2024-02-15  Gemini 1.5 Pro  (id: google-gemini-1.5-pro-202402, category: chat)
2024-05-14  Gemini 1.5 Flash  (id: google-gemini-1.5-flash-202405, category: chat)
2024-05-14  text-embedding-004  (id: google-textembedding004-202405, category: embedding)
2024-05-14  Veo  (id: google-veo1-202405, category: video)
2024-08-15  Imagen 3  (id: google-imagen3-202408, category: image)
2024-12-11  Gemini 2.0 Flash  (id: google-gemini-2.0-flash-202412, category: chat)
2024-12-16  Veo 2  (id: google-veo2-202412, category: video)
2024-12-19  Gemini 2.0 Flash Thinking  (id: google-gemini-2.0-flash-thinking-202412, category: chat)
2025-02-05  Gemini 2.0 Pro Experimental  (id: google-gemini-2.0-pro-exp-202502, category: chat)
2025-02-25  Gemini 2.0 Flash-Lite  (id: google-gemini-2.0-flash-lite-202502, category: chat)
2025-03-07  Gemini Embedding  (id: google-gemini-embedding-202503, category: embedding)
2025-03-17  Chirp 3  (id: google-chirp3-202503, category: audio)
2025-03-25  Gemini 2.5 Pro  (id: google-gemini-2.5-pro-202503, category: chat)
2025-04-17  Gemini 2.5 Flash  (id: google-gemini-2.5-flash-202504, category: chat)
2025-05-20  Imagen 4  (id: google-imagen4-202505, category: image)
2025-05-20  Veo 3  (id: google-veo3-202505, category: video)
2025-06-17  Gemini 2.5 Flash-Lite  (id: google-gemini-2.5-flash-lite-202506, category: chat)
2025-08-26  Nano Banana  (id: google-nanobanana-202508, category: image)
2025-10-14  Veo 3.1  (id: google-veo31-202510, category: video)
2025-11-18  Gemini 3 Pro  (id: google-gemini-3-pro-202511, category: chat)
2025-11-20  Nano Banana Pro  (id: google-nanobanana-pro-202511, category: image)
2025-12-04  Gemini 3 Deep Think  (id: google-gemini-3-deep-think-202512, category: chat)
2025-12-17  Gemini 3 Flash  (id: google-gemini-3-flash-202512, category: chat)
2026-02-18  Lyria 3  (id: google-lyria3-202602, category: audio)
2026-02-19  Gemini 3.1 Pro  (id: google-gemini-3.1-pro-202602, category: chat)
2026-02-26  Nano Banana 2  (id: google-nanobanana2-202602, category: image)
2026-03-03  Gemini 3.1 Flash-Lite  (id: google-gemini-3.1-flash-lite-202603, category: chat)
2026-05-19  Gemini 3.5 Flash  (id: google-gemini-3.5-flash-202605, category: chat)
2026-07-21  Gemini 3.6 Flash  (id: google-gemini36flash-202607, category: chat)
2026-07-21  Gemini 3.5 Flash-Lite  (id: google-gemini35flashlite-202607, category: chat)
2026-07-21  Gemini 3.5 Flash Cyber  (id: google-gemini35flashcyber-202607, category: chat)
2026-08-13  Gemini 3.7 Flash  (id: google-gemini37flash-202608, category: chat)
2026-08-27  Gemini Omni 1.1 Flash  (id: google-geminiomni11flash-202608, category: video)
2026-09-02  Gemini 3.8 Flash  (id: google-gemini38flash-202609, category: chat)
2026-09-02  Gemini 3.8 Flash Cyber  (id: google-gemini38flashcyber-202609, category: chat)

--- meta (22 entries) ---
2023-02-24  LLaMA (1)  (id: meta-llama-1-202302, category: chat)
2023-05-09  ImageBind  (id: meta-imagebind-202305, category: embedding)
2023-06-16  Voicebox  (id: meta-voicebox-202306, category: audio)
2023-07-18  Llama 2  (id: meta-llama-2-202307, category: chat)
2023-08-03  AudioCraft / MusicGen  (id: meta-audiocraft-musicgen-202308, category: audio)
2023-08-24  Code Llama  (id: meta-code-llama-202308, category: chat)
2023-09-27  Emu  (id: meta-emu-202309, category: image)
2023-11-16  Emu Edit  (id: meta-emu-edit-202311, category: image)
2023-11-16  Emu Video  (id: meta-emu-video-202311, category: video)
2024-04-18  Llama 3 (8B/70B)  (id: meta-llama-3-202404, category: chat)
2024-07-23  Llama 3.1 405B  (id: meta-llama-3.1-405b-202407, category: chat)
2024-09-25  Llama 3.2 (11B/90B Vision, 1B/3B)  (id: meta-llama-3.2-vision-202409, category: chat)
2024-12-06  Llama 3.3 70B  (id: meta-llama-3.3-70b-202412, category: chat)
2025-04-05  Llama 4 Scout  (id: meta-llama-4-scout-202504, category: chat)
2025-04-05  Llama 4 Maverick  (id: meta-llama-4-maverick-202504, category: chat)
2025-04-05  Llama 4 Behemoth  (id: meta-llama-4-behemoth-202504, category: chat)
2025-09-25  Vibes  (id: meta-vibes-202509, category: video)
2026-04-08  Muse Spark  (id: meta-muse-spark-10-202604, category: chat)
2026-07-09  Muse Spark  (id: meta-muse-spark-11-202607, category: chat)
2026-08-05  Muse Spark 1.2  (id: meta-musespark12-202608, category: chat)
2026-08-10  Muse Glimmer  (id: meta-museglimmer-202608, category: chat)
2026-09-02  Muse Spark 1.3  (id: meta-musespark13-202609, category: chat)

=== GROUP: chinese ===

--- deepseek (16 entries) ---
2024-05-07  DeepSeek-V2  (id: deepseek-v2-202405, category: chat)
2024-09-05  DeepSeek-V2.5  (id: deepseek-v2.5-202409, category: chat)
2024-10-18  Janus  (id: deepseek-janus-202410, category: image)
2024-12-26  DeepSeek-V3  (id: deepseek-v3-202412, category: chat)
2025-01-20  DeepSeek-R1  (id: deepseek-r1-202501, category: chat)
2025-01-27  Janus-Pro  (id: deepseek-januspro-202501, category: image)
2025-05-28  DeepSeek-R1-0528  (id: deepseek-r1-0528-202505, category: chat)
2025-08-21  DeepSeek-V3.1  (id: deepseek-v3.1-202508, category: chat)
2025-09-29  DeepSeek-V3.2-Exp  (id: deepseek-v3.2exp-202509, category: chat)
2025-10-20  DeepSeek-OCR  (id: deepseek-ocr-202510, category: document)
2025-12-01  DeepSeek-V3.2 / V3.2-Speciale  (id: deepseek-v3.2-202512, category: chat)
2026-01-27  DeepSeek-OCR-2  (id: deepseek-ocr2-202601, category: document)
2026-04-24  DeepSeek-V4 Preview (Pro / Flash)  (id: deepseek-v4preview-202604, category: chat)
2026-07-31  DeepSeek-V4-Flash-0731  (id: deepseek-v4-flash-202607, category: chat)
2026-08-13  DeepSeek-V4-Pro  (id: deepseek-v4-pro-202608, category: chat)
2026-09-10  DeepSeek-V4.1-Flash  (id: deepseek-v4-1-flash-202609, category: chat)

--- alibaba (26 entries) ---
2024-02-05  Qwen1.5  (id: alibaba-qwen1.5-202402, category: chat)
2024-06-06  Qwen2  (id: alibaba-qwen2-202406, category: chat)
2024-07-01  SenseVoice  (id: alibaba-sensevoice-202407, category: audio)
2024-07-05  CosyVoice  (id: alibaba-cosyvoice-202407, category: audio)
2024-09-19  Qwen2.5  (id: alibaba-qwen2.5-202409, category: chat)
2024-11-28  QwQ-32B-Preview  (id: alibaba-qwq32bpreview-202411, category: chat)
2024-12-18  CosyVoice 2.0  (id: alibaba-cosyvoice2-202412, category: audio)
2025-02-25  Wan2.1  (id: alibaba-wan21-202502, category: video)
2025-03-06  QwQ-32B  (id: alibaba-qwq32b-202503, category: chat)
2025-04-29  Qwen3  (id: alibaba-qwen3-202504, category: chat)
2025-06-06  Qwen3-Embedding  (id: alibaba-qwen3embedding-202506, category: embedding)
2025-07-28  Wan2.2  (id: alibaba-wan22-202507, category: video)
2025-08-04  Qwen-Image  (id: alibaba-qwenimage-202508, category: image)
2025-08-19  Qwen-Image-Edit  (id: alibaba-qwenimageedit-202508, category: image)
2025-08-26  Wan2.2-S2V  (id: alibaba-wan22s2v-202508, category: video)
2025-09-05  Qwen3-Max Preview  (id: alibaba-qwen3maxpreview-202509, category: chat)
2025-09-24  Qwen3-Max  (id: alibaba-qwen3max-202509, category: chat)
2025-12-15  CosyVoice 3.0  (id: alibaba-cosyvoice3-202512, category: audio)
2026-02-16  Qwen3.5 / Qwen3.5-Plus  (id: alibaba-qwen3.5-202602, category: chat)
2026-04-16  Qwen3.6 (35B-A3B / 27B dense)  (id: alibaba-qwen3.6-202604, category: chat)
2026-05-20  Qwen3.7-Max  (id: alibaba-qwen3.7max-202605, category: chat)
2026-07-20  Qwen-Audio-3.0-TTS  (id: alibaba-qwenaudio3tts-202607, category: audio)
2026-08-03  Qwen3.8-Max  (id: alibaba-qwen3.8-max-202608, category: chat)
2026-08-14  Qwen3.8-27B  (id: alibaba-qwen3.8-27b-202608, category: chat)
2026-08-24  Wan3.0  (id: alibaba-wan3-0-202608, category: video)
2026-09-20  Qwen-Image-2.1  (id: alibaba-qwen-image-2-1-202609, category: image)

--- zhipu (16 entries) ---
2024-06-05  GLM-4  (id: zhipu-glm4-202406, category: chat)
2024-08-27  CogVideoX  (id: zhipu-cogvideox-202408, category: video)
2024-10-14  CogView-3 / CogView-3-Plus  (id: zhipu-cogview3-202410, category: image)
2024-10-25  GLM-4-Voice  (id: zhipu-glm4voice-202410, category: audio)
2024-11-08  CogVideoX-1.5  (id: zhipu-cogvideox15-202411, category: video)
2024-12-01  Embedding-3  (id: zhipu-embedding3-202412, category: embedding)
2025-03-04  CogView-4  (id: zhipu-cogview4-202503, category: image)
2025-07-25  GLM-4.5  (id: zhipu-glm4.5-202507, category: chat)
2025-07-25  GLM-4.5-Air  (id: zhipu-glm4.5air-202507, category: chat)
2025-09-30  GLM-4.6  (id: zhipu-glm4.6-202509, category: chat)
2025-12-09  GLM-4.6V  (id: zhipu-glm4.6v-202512, category: chat)
2025-12-22  GLM-4.7  (id: zhipu-glm4.7-202512, category: chat)
2026-02-01  GLM-5  (id: zhipu-glm5-202602, category: chat)
2026-04-01  GLM-5.1  (id: zhipu-glm5.1-202604, category: chat)
2026-06-13  GLM-5.2  (id: zhipu-glm5.2-202606, category: chat)
2026-08-14  GLM-5.3  (id: zhipu-glm-5.3-202608, category: chat)

--- moonshot (8 entries) ---
2025-01-20  Kimi k1.5  (id: moonshot-kimik1.5-202501, category: chat)
2025-04-25  Kimi-Audio  (id: moonshot-kimiaudio-202504, category: audio)
2025-07-11  Kimi K2  (id: moonshot-kimik2-202507, category: chat)
2025-09-09  Kimi-K2-Instruct-0905  (id: moonshot-kimik2instruct0905-202509, category: chat)
2025-11-06  Kimi K2 Thinking  (id: moonshot-kimik2thinking-202511, category: chat)
2026-01-27  Kimi K2.5  (id: moonshot-kimik2.5-202601, category: chat)
2026-07-16  Kimi K3  (id: moonshot-kimi-k3-202607, category: chat)
2026-09-11  Kimi K2.8 Preview  (id: moonshot-kimi-k2-8-preview-202609, category: chat)

--- 01ai (3 entries) ---
2024-05-13  Yi-1.5  (id: 01ai-yi1.5-202405, category: chat)
2024-05-15  Yi-Large  (id: 01ai-yilarge-202405, category: chat)
2024-10-16  Yi-Lightning  (id: 01ai-yilightning-202410, category: chat)

--- baidu (9 entries) ---
2023-07-01  Wenxin Yige  (id: baidu-wenxinyige-202307, category: image)
2024-06-01  ERNIE 4.0 Turbo  (id: baidu-ernie4turbo-202406, category: chat)
2024-09-25  ERNIE Xiling Text-to-Video  (id: baidu-xilingt2v-202409, category: video)
2025-03-16  ERNIE 4.5  (id: baidu-ernie4.5-202503, category: chat)
2025-03-16  ERNIE X1  (id: baidu-erniex1-202503, category: chat)
2025-04-25  ERNIE 4.5 Turbo / X1 Turbo  (id: baidu-ernie4.5turbo-202504, category: chat)
2025-11-13  ERNIE 5.0 (Preview)  (id: baidu-ernie5.0preview-202511, category: chat)
2026-01-22  ERNIE 5.0  (id: baidu-ernie5.0-202601, category: chat)
2026-05-08  ERNIE 5.1  (id: baidu-ernie5.1-202605, category: chat)

--- minimax (16 entries) ---
2024-08-01  MiniMax Music-01  (id: minimax-music01-202408, category: audio)
2024-08-31  MiniMax Video-01  (id: minimax-video01-202408, category: video)
2025-01-15  MiniMax-01 (MiniMax-Text-01 / VL-01)  (id: minimax-text01-202501, category: chat)
2025-01-15  MiniMax T2A-01-HD  (id: minimax-t2a01hd-202501, category: audio)
2025-02-15  MiniMax Image-01  (id: minimax-image01-202502, category: image)
2025-04-02  MiniMax Speech-02  (id: minimax-speech02-202504, category: audio)
2025-06-17  MiniMax-M1  (id: minimax-m1-202506, category: chat)
2025-07-31  MiniMax Hailuo 02  (id: minimax-hailuo02-202507, category: video)
2025-08-07  MiniMax Speech 2.5  (id: minimax-speech25-202508, category: audio)
2025-10-23  MiniMax M2  (id: minimax-m2-202510, category: chat)
2025-10-28  MiniMax Hailuo 2.3  (id: minimax-hailuo23-202510, category: video)
2025-12-23  MiniMax M2.1  (id: minimax-m2.1-202512, category: chat)
2026-01-23  MiniMax Speech 2.8  (id: minimax-speech28-202601, category: audio)
2026-02-12  MiniMax M2.5  (id: minimax-m2.5-202602, category: chat)
2026-06-01  MiniMax M3  (id: minimax-m3-202606, category: chat)
2026-08-13  MiniMax Music 3.0  (id: minimax-music3-202608, category: audio)

--- bytedance (20 entries) ---
2024-05-15  Doubao Large Model (Doubao-Pro)  (id: bytedance-doubaopro-202405, category: chat)
2024-05-15  Doubao Speech Synthesis Model  (id: bytedance-doubaotts-202405, category: audio)
2024-07-15  Doubao Embedding Text  (id: bytedance-embeddingtext-202407, category: embedding)
2024-12-01  Seedream 2.0  (id: bytedance-seedream2-202412, category: image)
2025-01-22  Doubao-1.5-Pro  (id: bytedance-doubao1.5pro-202501, category: chat)
2025-04-01  Seedream 3.0  (id: bytedance-seedream3-202504, category: image)
2025-05-12  Seed1.5-VL  (id: bytedance-seed1.5vl-202505, category: chat)
2025-05-15  Doubao Embedding Text  (id: bytedance-embeddingtext250515-202505, category: embedding)
2025-06-11  Seedance 1.0  (id: bytedance-seedance1-202506, category: video)
2025-06-15  Doubao Embedding Vision (Seed1.6-Embedding)  (id: bytedance-embeddingvision-202506, category: embedding)
2025-09-09  Seedream 4.0  (id: bytedance-seedream4-202509, category: image)
2025-10-01  Doubao Speech Synthesis Model 2.0  (id: bytedance-doubaotts2-202510, category: audio)
2025-10-14  Doubao-Seed-1.6  (id: bytedance-doubaoseed1.6-202510, category: chat)
2025-12-16  Seedance 1.5 Pro  (id: bytedance-seedance15pro-202512, category: video)
2026-02-01  Seedance 2.0  (id: bytedance-seedance2-202602, category: video)
2026-02-14  Doubao Seed 2.0  (id: bytedance-doubaoseed2.0-202602, category: chat)
2026-06-23  Doubao Seed 2.1  (id: bytedance-doubao-seed-2.1-202606, category: chat)
2026-06-23  Doubao-Seed-Audio 1.0  (id: bytedance-seedaudio1-202606, category: audio)
2026-07-01  Seedance 2.5  (id: bytedance-seedance25-202607, category: video)
2026-07-08  Seedream 5.0 Pro  (id: bytedance-seedream5pro-202607, category: image)

=== GROUP: other-us ===

--- xai (18 entries) ---
2023-11-04  Grok-1  (id: xai-grok1-202311, category: chat)
2024-03-17  Grok-1 (Open Weights)  (id: xai-grok1-openweights-202403, category: chat)
2024-08-14  Grok-2  (id: xai-grok2-202408, category: chat)
2024-08-14  Grok-2 mini  (id: xai-grok2mini-202408, category: chat)
2024-12-09  Aurora  (id: xai-aurora-202412, category: image)
2025-02-17  Grok 3  (id: xai-grok3-202502, category: chat)
2025-07-09  Grok 4  (id: xai-grok4-202507, category: chat)
2025-08-04  Grok Imagine  (id: xai-grokimagine-202508, category: video)
2025-10-07  Grok Imagine v0.9  (id: xai-grokimagine09-202510, category: video)
2025-11-17  Grok 4.1  (id: xai-grok4.1-202511, category: chat)
2026-02-02  Grok Imagine 1.0  (id: xai-grokimagine10-202602, category: video)
2026-04-17  Grok 4.3  (id: xai-grok4.3-202604, category: chat)
2026-06-03  Grok Imagine Video 1.5  (id: xai-grokimaginevideo15-202606, category: video)
2026-07-08  Grok 4.5  (id: xai-grok4.5-202607, category: chat)
2026-08-07  Grok Imagine Image 2.0  (id: xai-grokimagineimage2-202608, category: image)
2026-08-12  Grok 4.6  (id: xai-grok4-6-202608, category: chat)
2026-09-18  Grok Voice Transcribe 2.0  (id: xai-grok-voice-transcribe-2-202609, category: audio)
2026-09-21  Grok 4.7  (id: xai-grok-4-7-202609, category: chat)

--- amazon (18 entries) ---
2023-09-28  Amazon Titan Text Embeddings  (id: amazon-titantextembedv1-202309, category: embedding)
2023-11-29  Amazon Titan Image Generator  (id: amazon-titanimagegen-202311, category: image)
2023-11-29  Amazon Titan Multimodal Embeddings  (id: amazon-titanmultimodalembed-202311, category: embedding)
2024-04-30  Amazon Titan Text Embeddings V2  (id: amazon-titantextembedv2-202404, category: embedding)
2024-05-07  Amazon Titan Text Premier  (id: amazon-titantextpremier-202405, category: chat)
2024-08-06  Amazon Titan Image Generator V2  (id: amazon-titanimagegenv2-202408, category: image)
2024-12-03  Amazon Nova Micro  (id: amazon-novamicro-202412, category: chat)
2024-12-03  Amazon Nova Lite  (id: amazon-novalite-202412, category: chat)
2024-12-03  Amazon Nova Pro  (id: amazon-novapro-202412, category: chat)
2024-12-03  Amazon Nova Canvas  (id: amazon-novacanvas-202412, category: image)
2024-12-03  Amazon Nova Reel  (id: amazon-novareel-202412, category: video)
2025-04-08  Amazon Nova Sonic  (id: amazon-novasonic-202504, category: audio)
2025-04-30  Amazon Nova Premier  (id: amazon-novapremier-202504, category: chat)
2025-10-28  Amazon Nova Multimodal Embeddings  (id: amazon-novamultimodalembed-202510, category: embedding)
2025-12-02  Amazon Nova 2 Lite  (id: amazon-nova2lite-202512, category: chat)
2025-12-02  Amazon Nova 2 Pro  (id: amazon-nova2pro-202512, category: chat)
2025-12-02  Amazon Nova 2 Omni  (id: amazon-nova2omni-202512, category: chat)
2025-12-02  Amazon Nova 2 Sonic  (id: amazon-nova2sonic-202512, category: audio)

--- microsoft (21 entries) ---
2023-06-21  Phi-1  (id: microsoft-phi1-202306, category: chat)
2023-12-12  Phi-2  (id: microsoft-phi2-202312, category: chat)
2024-04-23  Phi-3-mini  (id: microsoft-phi3-mini-202404, category: chat)
2024-08-21  Phi-3.5-mini  (id: microsoft-phi3.5-mini-202408, category: chat)
2024-12-12  Phi-4  (id: microsoft-phi4-202412, category: chat)
2025-02-26  Phi-4-mini  (id: microsoft-phi4-mini-202502, category: chat)
2025-02-26  Phi-4-multimodal  (id: microsoft-phi4-multimodal-202502, category: chat)
2025-04-30  Phi-4-reasoning  (id: microsoft-phi4-mini-reasoning-202504, category: chat)
2025-08-28  MAI-1-preview  (id: microsoft-mai1preview-202508, category: chat)
2025-08-28  MAI-Voice-1  (id: microsoft-maivoice1-202508, category: audio)
2026-03-19  MAI-Image-2  (id: microsoft-maiimage2-202603, category: image)
2026-04-02  MAI-Transcribe-1  (id: microsoft-maitranscribe1-202604, category: audio)
2026-04-14  MAI-Image-2-Efficient  (id: microsoft-maiimage2efficient-202604, category: image)
2026-06-02  MAI-Thinking-1  (id: microsoft-maithinking1-202606, category: chat)
2026-06-02  MAI-Code-1-Flash  (id: microsoft-maicode1flash-202606, category: chat)
2026-06-02  MAI-Image-2.5  (id: microsoft-maiimage25-202606, category: image)
2026-06-02  MAI-Image-2.5-Flash  (id: microsoft-maiimage25flash-202606, category: image)
2026-06-02  MAI-Transcribe-1.5  (id: microsoft-maitranscribe15-202606, category: audio)
2026-06-02  MAI-Voice-2  (id: microsoft-maivoice2-202606, category: audio)
2026-06-02  MAI-Voice-2-Flash  (id: microsoft-maivoice2flash-202606, category: audio)
2026-07-23  MAI-Image-2.5-Pro  (id: microsoft-maiimage25pro-202607, category: image)

--- databricks (1 entries) ---
2024-03-27  DBRX  (id: databricks-dbrx-202403, category: chat)

--- reka (5 entries) ---
2024-02-12  Reka Flash  (id: reka-flash-202402, category: chat)
2024-02-12  Reka Edge  (id: reka-edge-202402, category: chat)
2024-04-15  Reka Core  (id: reka-core-202404, category: chat)
2025-03-01  Reka Flash 3  (id: reka-flash3-202503, category: chat)
2026-03-20  Reka Edge (2026)  (id: reka-edge2026-202603, category: chat)

=== GROUP: row ===

--- mistral (22 entries) ---
2023-09-27  Mistral 7B  (id: mistral-7b-202309, category: chat)
2023-12-11  Mixtral 8x7B  (id: mistral-mixtral-8x7b-202312, category: chat)
2024-02-26  Mistral Large  (id: mistral-large-202402, category: chat)
2024-05-29  Codestral  (id: mistral-codestral-202405, category: chat)
2024-07-18  Mistral NeMo  (id: mistral-nemo-202407, category: chat)
2024-07-24  Mistral Large 2  (id: mistral-large2-202407, category: chat)
2024-11-18  Pixtral Large  (id: mistral-pixtral-large-202411, category: chat)
2025-01-30  Mistral Small 3  (id: mistral-small3-202501, category: chat)
2025-03-06  Mistral OCR  (id: mistral-ocr1-202503, category: document)
2025-03-17  Mistral Small 3.1  (id: mistral-small3.1-202503, category: chat)
2025-05-07  Mistral Medium 3  (id: mistral-medium3-202505, category: chat)
2025-05-22  Mistral OCR 2  (id: mistral-ocr2-202505, category: document)
2025-06-10  Magistral (Small & Medium)  (id: mistral-magistral-202506, category: chat)
2025-07-15  Voxtral  (id: mistral-voxtral-202507, category: audio)
2025-12-02  Mistral Large 3  (id: mistral-large3-202512, category: chat)
2025-12-09  Devstral 2  (id: mistral-devstral2-202512, category: chat)
2025-12-18  Mistral OCR 3  (id: mistral-ocr3-202512, category: document)
2026-02-04  Voxtral Transcribe 2  (id: mistral-voxtral-transcribe2-202602, category: audio)
